ordinal,class,stage_number,stage,proof_root,proof_title,theorem_statement,reader_principle,result
1,Primary,1,SIGNED OCCUPANCY AND TEMPORAL ORIGIN,_u905_nested_signed_occupancy_origin_theorem,NESTED SIGNED OCCUPANCY ORIGIN THEOREM,Execute the exact certificate for NESTED SIGNED OCCUPANCY ORIGIN THEOREM on its generated dependency domain.,"Negative, zero, and positive outer states each contain A, B, and C inner signs. Every inner sign occurs in empty and full form, producing exactly eighteen primitive states.",TRUE
2,Primary,1,SIGNED OCCUPANCY AND TEMPORAL ORIGIN,theorem_structured_zero_recursive_state_semantics,STRUCTURED ZERO RECURSIVE STATE SEMANTICS THEOREM,"Prove the complete negative-zero-positive by A-B-C by full-empty state grammar and the distinction between relational zero, empty zero, full zero, and a saturated layer rebased as the next relational zero.","Negative, zero, and positive are relational positions, while full and empty are independent occupancy states. Zero can therefore be empty or full without contradiction. A completely saturated layer has no remaining internal contrast and becomes the centered zero reference of the next recursive layer.",TRUE
3,Primary,1,SIGNED OCCUPANCY AND TEMPORAL ORIGIN,theorem_complete_eighteen_state_semantic_bijection,COMPLETE EIGHTEEN STATE SEMANTIC BIJECTION THEOREM,"Prove a one-to-one semantic ledger for every outer sign, inner relation, and occupied-vacant state.","Every negative, zero and positive outer relation contains occupied and vacant A-negative, B-zero and C-positive inner relations. The complete semantic table is a bijection with the eighteen primitive tuples.",TRUE
4,Primary,1,SIGNED OCCUPANCY AND TEMPORAL ORIGIN,theorem_primitive_relational_category_global_minimality,PRIMITIVE RELATIONAL CATEGORY GLOBAL MINIMALITY THEOREM,Classify the finite reversible-sign and occupancy-complement product category and prove that three by three by two is its unique irreducible minimum.,"A reversible sign relation requires one negative direction, one relational zero, and one positive direction. Occupancy requires one empty and one full state. Any larger admissible finite alphabet contains extra independent reversal or complement pairs, while the unique irreducible minimum is three by three by two.",TRUE
5,Primary,1,SIGNED OCCUPANCY AND TEMPORAL ORIGIN,theorem_primitive_ledger_minimal_uniqueness,PRIMITIVE LEDGER MINIMAL UNIQUENESS THEOREM,"Classify the smallest reversible outer sign, inner relation, and occupancy alphabets and derive the eighteen-state ledger.","A reversible primitive sign system requires one fixed zero and one exchanged negative-positive pair, so its minimum size is three. An occupancy complement has no fixed point and one exchanged empty-full pair, so its minimum size is two; the unique minimal nested ledger therefore has eighteen states.",TRUE
6,Primary,1,SIGNED OCCUPANCY AND TEMPORAL ORIGIN,theorem_primitive_architecture_global_necessity,PRIMITIVE ARCHITECTURE GLOBAL NECESSITY THEOREM,Execute the exact certificate for PRIMITIVE ARCHITECTURE GLOBAL NECESSITY THEOREM on its generated dependency domain.,"The reversible outer sign, reversible inner relation, and complementary occupancy requirements are classified before any force role is named. Inside the declared irreducible grammar, only the three-by-three-by-two factorization uses every primitive label and preserves both residual signs and closure complement.",TRUE
7,Primary,1,SIGNED OCCUPANCY AND TEMPORAL ORIGIN,theorem_recursive_primitive_grammar_irreducibility,RECURSIVE PRIMITIVE GRAMMAR IRREDUCIBILITY THEOREM,"Prove that the recursive outer-sign, inner-sign, and occupancy grammar has no larger irreducible finite competitor.","Every finite involution decomposes into fixed points and exchanged pairs; requiring one relational zero and one connected reversible pair forces a three-state sign alphabet. Requiring one connected empty-full complement forces two occupancy states, so larger finite competitors are reducible copies rather than new irreducible primitives.",TRUE
8,Primary,1,SIGNED OCCUPANCY AND TEMPORAL ORIGIN,_zfr_zero_state_structure_theorem,ZERO STATE STRUCTURE THEOREM,"Separate algebraic zero, occupied balance, bound closure, supported cavity, absolute absence, and saturated relative zero.","Zero is classified by residual, occupation, boundary support, binding, and internal contrast. Equal opposite content and absolute absence are not the same state. A five-to-five state is an algebraic zero because the exposed residual vanishes, although both negative and positive contents remain present.",TRUE
9,Primary,1,SIGNED OCCUPANCY AND TEMPORAL ORIGIN,_zfr_residual_bias_saturation_theorem,RESIDUAL BIAS SATURATION THEOREM,Prove that one transferred unit from the five-to-five zero selects a preserved direction and reaches one-sided saturation in finitely many exact steps.,A time-ordered one-unit imbalance selects a direction. The conservative transfer law then amplifies the selected occupancy until the opposite side is exhausted. The proof establishes monotone directional ordering and finite saturation; the word entropy is used only as intuition unless a separate statistical measure is supplied.,TRUE
10,Primary,1,SIGNED OCCUPANCY AND TEMPORAL ORIGIN,_zfr_saturation_relative_zero_theorem,SATURATION RELATIVE ZERO THEOREM,Prove that a one-sign saturated state remains signed externally while becoming the zero baseline of its next internal relation layer.,A one-sign saturated state is nonzero from outside but has zero internal contrast because no opposite comparison state remains. The whole saturated layer is therefore reused as the next layer zero baseline while its outer sign record is preserved.,TRUE
